id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,Crown Heights Anthem,DJ Krossway,hip-hop,energetic,0.87,95,0.72,0.91,0.08
12,Moonlit Sonata,Clara Voss,classical,melancholic,0.22,66,0.30,0.18,0.97
13,Velvet Nights,Sable June,r&b,romantic,0.58,88,0.76,0.71,0.32
14,Dirt Road Memory,The Pine Roots,country,nostalgic,0.44,96,0.68,0.55,0.78
15,Overdrive,Flux Circuit,edm,euphoric,0.96,140,0.85,0.93,0.03
16,Empty Porch,River Hale,folk,sad,0.25,70,0.28,0.38,0.91
17,Iron Collapse,Shattered Crown,metal,angry,0.95,168,0.35,0.62,0.07
18,Island Morning,Sol Waves,reggae,uplifting,0.61,82,0.88,0.74,0.55
19,Honey and Smoke,Velour,soul,dreamy,0.50,76,0.79,0.64,0.62
20,Broken Glass Blues,Harp Dawson,blues,heartbroken,0.38,84,0.33,0.45,0.83
